,Ticket,Problem_Abstract,Ticket_Type,Team,Ticket_Opened_Date,Ticket_Closed
3492,310353800,Automation ID is locked ,User,GTAC,5/26/2022 18:34,5/26/2022 18:43
3493,310358849,Requesting alarm suppression for State Farm Insurance starting on Friday (05/27) at 7pm CT until 6am CT on Tuesday (05/31).,User,SMARTS/GFP_CPE,5/26/2022 20:56,5/31/2022 14:20
3495,310361057,Please set access for TACAS Account Sysco_tools to term length 0 added ,User,"GTAC - Account issues, password change",5/26/2022 22:12,8/1/2022 21:35
3496,310361920,Create New ID,User,GTAC,5/26/2022 22:42,8/15/2022 22:43
3497,310362373,"Hi Team, Please help with Action issue for the below mentioned associates are facing. They have approvals to use ACTION V3, but its intermittently working for the associates. It work sometimes/day and stop working the next day.",User,ACTION Web,5/26/2022 23:01,6/5/2022 14:48
3498,310365456,Receiving  PROBLEM Service Alert: sndvn018.itservices.sbc.com/attlasextract_log_H is WARNING ,User,VitalNet Problems or Errors,5/27/2022 2:07,5/31/2022 21:38
3499,310366075,Reported ATTU  Slowness issue,User,"ServiceNow Day 2 Support - ATTU (Automated TTU, OneButton)",5/27/2022 2:45,6/13/2022 14:28
3500,310374658,I need access to unlock the tickets locked by someone else,User,Unified Desktop (UD),5/27/2022 9:55,5/27/2022 10:16
3502,310379923,multiple users reporting slowness with UD,User,Unified Desktop (UD),5/27/2022 14:08,5/30/2022 18:21
3503,310382054,Manual Remove from Power BI,User,Global Delivery Data & Analytics,5/27/2022 15:27,6/1/2022 20:58
3504,310390315,KSEP Migration of 4EO from IBM to Kyndryl,User,CISCO ISE - Network Device Update/Add/Delete,5/27/2022 20:12,6/8/2022 20:03
3505,310390431,Issue with BVOIP Domain Unable to activate enable mode on Cisco routers.,User,"GTAC - Account issues, password change",5/27/2022 20:16,8/15/2022 22:39
3506,310407213,Unable to authenticate for any MSS devices ,User,GTAC - Other,5/28/2022 12:08,5/28/2022 12:47
3507,310409725,loading error in Unified desktop,User,Unified Desktop (UD),5/28/2022 14:19,5/28/2022 15:35
3508,310410172,User Biswajeet bp817a unable to login to Fluor devices. Though ,User,SMARTS/GFP_CPE,5/28/2022 14:44,5/28/2022 15:30
3509,310410228,"Requested for Fluor TACACS password in IDMS for user bp817a, Request to check & approve asap ",User,Cisco ISE,5/28/2022 14:48,5/31/2022 10:12
3510,310413940,SLOWNESS IN SAVING CHANGES,User,Unified Desktop (UD),5/28/2022 18:19,5/29/2022 0:53
3511,310421228,"Hi Team, Im unable to access devices. Kyndryl Pollers (US and AP) - xxxxxxx ",User,"GTAC - Account issues, password change",5/29/2022 7:23,6/1/2022 4:29
3512,310428483,Please update the addtac template located in pollers for GRUA-ARGA. Then push the changes to all devices. Change: add and delete snmp server IPs in ACL-13. In ip access-list standard 13 >>> delete xxxxxxx  and xxxxxxx  Also add below 5 ips- 10.1,User,ADDTAC - Other,5/29/2022 18:52,6/3/2022 14:25
3513,310434794,Kyndryl Cisco ISE wlc register ,User,CISCO ISE - Network Device Update/Add/Delete,5/30/2022 7:01,6/8/2022 5:06
3514,310434940,Kyndryl Cisco ISE wlc register ,User,CISCO ISE - Network Device Update/Add/Delete,5/30/2022 7:05,6/5/2022 19:44
3515,310435023,Kyndryl Cisco ISE wlc register ,User,CISCO ISE - Network Device Update/Add/Delete,5/30/2022 7:17,6/8/2022 5:07
3516,310439833,Would need the client name field to update as 'Cinemark' as soon as the ticket is created on below mentioned asset ID,User,TRUE (Ticket Rules Update Engine),5/30/2022 14:42,9/22/2022 9:06
3517,310440096,Customer not receiving proactive alerts when ticket already existing for the site ,User,SMARTS/GFP_CPE,5/30/2022 14:56,5/31/2022 14:25
3518,310441087,Grand audit log and list of removed user accounts (including customer accounts) ,User,GTAC,5/30/2022 16:02,5/31/2022 11:18
3519,310441689,IGA ISE Device Add ,User,CISCO ISE - Network Device Update/Add/Delete,5/30/2022 16:47,5/30/2022 17:49
3520,310442628, IGA ISE Device Add ,User,CISCO ISE - Network Device Update/Add/Delete,5/30/2022 17:53,6/3/2022 0:50
3521,310445492,LCM Tracker is down ,User,LCM Tracker,5/30/2022 21:53,5/30/2022 22:20
3522,310445815,Please add new WLC and eWC at several sites in Japan to ISE(IBM/IBMInternet) ,User,CISCO ISE - Network Device Update/Add/Delete,5/30/2022 22:22,6/9/2022 23:58
3523,310453088,VitalNet comes up empty ,User,VitalNet Problems or Errors,5/31/2022 8:51,6/2/2022 3:42
3524,310453367,Cannot log into Voyence,User,INCM (Voyence) - Other,5/31/2022 9:24,6/8/2022 13:08
3525,310454015,Add new eWC (h8k-wc-ewc) into Radius/ISE ,User,CISCO ISE - Network Device Update/Add/Delete,5/31/2022 10:05,6/3/2022 4:06
3527,310455727,"USWILAPISNJ05H & AUWILXWES0001H & AUWILXWES0002H & INWILXBAN0001R & INWILXBAN0002R & SGWILDSIN0003H & SGWILDSIN0004H are not yet on pollers, configs not backed and not even proactively monitored. ",User,Configuration backup,5/31/2022 12:12,5/31/2022 16:39
3528,310456893,Need ISE keys for kyndryl controller ,User,IBM BSO RADIUS,5/31/2022 13:43,5/31/2022 15:38
3529,310456932,Attn: Mohan  RPA Check  No update for Flex MOVE missing load  7:30 AM - ,User,Global Delivery Data & Analytics,5/31/2022 13:45,6/7/2022 12:55
3530,310457221,Add Audit role for user lt2535 for 2 Vattenfall Domains ,User,GTAC,5/31/2022 14:03,6/7/2022 9:48
3531,310463823,"auto alert triggered but in ticket it was for difference asset id - the faulty ticket was 309994654, a new ticket was raise to have the issue check.",User,Unified Desktop (UD),5/31/2022 17:55,6/15/2022 19:41
3532,310466655,Aruba (formerly known as Silver Peak) Customer Onboard Request ,User,GESS SDWAN Support,5/31/2022 19:25,6/6/2022 22:15
3533,310470394,Manual Remove from Power BI ,User,Global Delivery Data & Analytics,5/31/2022 21:32,6/1/2022 21:03
3535,310471453,Please investigate as why there was no proactive ticket cut for asset USSEUISXDCA01PVCE01_SHA when the GE3 WAN link went down for Sephora US Customer.,User,Unified Desktop (UD),5/31/2022 22:13,6/15/2022 19:37
3536,310475615,cant login ,User,GTAC - Other,6/1/2022 1:39,6/1/2022 1:46
3537,310477968,Cannot login after password change ,User,"GTAC - Account issues, password change",6/1/2022 4:14,6/21/2022 7:10
3539,310478653,No Auto detect tickets for Managed Edge Service Line,User,Unified Desktop (UD),6/1/2022 5:05,6/15/2022 4:02
3540,310481324,Request for ISE keys for Kyndryl D1F site ,User,Cisco ISE,6/1/2022 7:48,6/8/2022 5:01
3541,310482974,CR# 7542328 - Campbells Soup and Omnicom Media - GTAC IP swap,User,GTAC - Other,6/1/2022 9:28,6/2/2022 16:28
3542,310483144,Remove user from Vattenfall Domains ,User,GTAC,6/1/2022 9:38,6/5/2022 14:37
3543,310485263,Experience a lot of slowness without loading the whole menu ,User,VitalNet Problems or Errors,6/1/2022 11:42,6/5/2022 14:38
3544,310486821,"Disable tickets for all VTS/UniCredit pollers (bhxnm342, bhxnm343, bhxnm344 and bhxnm345) ",User,SMARTS/GFP_CPE,6/1/2022 13:04,6/2/2022 17:31
3545,310486825,"requested read-write access to domain, fully approved but not working ",User,"GTAC - Account issues, password change",6/1/2022 13:05,6/2/2022 9:01
3546,310486979,"Disable tickets for all VTS/UniCredit pollers (bhxnm342, bhxnm343, bhxnm344 and bhxnm345)",User,SMARTS/GFP_CPE,6/1/2022 13:09,6/2/2022 17:31
3547,310487004,"Disable tickets for all VTS/UniCredit pollers (bhxnm342, bhxnm343, bhxnm344 and bhxnm345) ",User,SMARTS/GFP_CPE,6/1/2022 13:11,6/2/2022 17:32
3548,310486945,"Disable tickets for all VTS/UniCredit pollers (bhxnm342, bhxnm343, bhxnm344 and bhxnm345)  ",User,SMARTS/GFP_CPE,6/1/2022 13:12,6/2/2022 17:31
3549,310487119,"Disable tickets for all VTS/UniCredit pollers (bhxnm342, bhxnm343, bhxnm344 and bhxnm345)",User,SMARTS/GFP_CPE,6/1/2022 13:14,6/2/2022 17:32
3550,310487124,"Disable tickets for all VTS/UniCredit pollers (bhxnm342, bhxnm343, bhxnm344 and bhxnm345)",User,SMARTS/GFP_CPE,6/1/2022 13:15,6/2/2022 17:32
3551,310488062,IBM AIA Domain Users Unable to Perform Configuration Changes. Error: AAA authorization failed AAA_AUTHOR_STATUS_METHOD=16(0x10) ,User,"GTAC - Account issues, password change",6/1/2022 14:14,6/2/2022 15:15
3552,310488431, AES Brazil MOG - AVPN ckt down - Test session with new QoS - NEW 310290487  ,User,SMARTS/GFP_CPE,6/1/2022 14:31,6/9/2022 23:37
3553,310489401,Question Granting Read Only access for customer  ,User,GTAC,6/1/2022 15:04,6/14/2022 0:23
3554,310491251,addtac not working for v6 host on rlpv13449 ,User,ADDTAC - Problem Management (ADDTAC Problem) ,6/1/2022 16:02,6/9/2022 23:39
3555,310491240,Please restore my GTAC ID,User,"GTAC - Account issues, password change",6/1/2022 16:03,6/1/2022 19:46
3556,310492059,tacacs xxxxxxx  is not working  ,User,GTAC - Other,6/1/2022 16:30,6/4/2022 9:07
3557,310492492,Please confirm file for EFMS-PDM and EFMS MS being sent to automation for BOT to run,User,Global Delivery Data & Analytics,6/1/2022 16:39,6/3/2022 23:04
3558,310493396,Credentials for Micro Focus ,User,General Inquiries,6/1/2022 17:09,6/1/2022 19:18
3559,310494314,No Auto Detect ticket generated for managed router when  circuit flapped,User,SMARTS/GFP_CPE,6/1/2022 17:34,6/14/2022 17:03
3560,310495880,Proactive ticket not raised for circuit down ,User,SMARTS/GFP_CPE,6/1/2022 18:21,6/8/2022 15:22
3561,310496164,OBM rlpv13116 crashed on 5/31. Please engage HW/OS team. ,User,SMARTS/GFP_CPE,6/1/2022 18:30,6/21/2022 18:34
3562,310497218,Need to verify if the GFP is working fine for the mentioned asset,User,SMARTS/GFP_CPE,6/1/2022 19:07,7/20/2022 15:31
3563,310498823,please unlock mechID m20229 ,User,GTAC - Other,6/1/2022 19:54,6/1/2022 20:13
3564,310500253,Found MTTRepair - AOTS field not updated for several tickets  ,User,BRAIN Web Site,6/1/2022 20:39,6/2/2022 14:01
3565,310500776,Updated global.enc file on BHX/FRANM360,User,SMARTS/GFP_CPE,6/1/2022 20:57,6/2/2022 19:12
3566,310500797,Network Owner Update,User,GTAC,6/1/2022 20:58,6/21/2022 18:24
3567,310500833,Domain for Micro Focus,User,GTAC - Other,6/1/2022 21:02,6/2/2022 3:10
3568,310504562,CLM not providing new Licenses and Removing in-service Licenses,User,Ciena License Manager,6/1/2022 23:22,6/2/2022 23:38
3570,310514260,"Below devices are not getting scanned for CA/CM, could you please fix the issue so that we can get the HC report for Audit perspective, ",User,CA/CM,6/2/2022 8:58,6/8/2022 5:11
3571,310515608,To Support AOTS TM UAT testing for Flexware,User,SMARTS/GFP_CPE,6/2/2022 10:15,6/2/2022 16:50
3572,310516455,"Issue with vitalnet portal vnfr03.acss.att.com - I'm able to log in but after that I receive either internal server error, or page is not loading at all. ",User,VitalNet Problems or Errors,6/2/2022 11:16,6/3/2022 13:53
3573,310520501,IGA EMEA ISE Device Add ,User,CISCO ISE - Network Device Update/Add/Delete,6/2/2022 15:10,6/13/2022 14:24
3574,310520683,Maintenance UD ticket# 310473598Unable to ping or access the router device USHIHCLBECA01R01 (Loopback IP: xxxxxxx) from both primary and secondary pollers rlpv12959 & rlpv12984 on the ACTION Connection Assist Tool or via putty. Same router is acces,User,SMARTS/GFP_CPE,6/2/2022 15:20,6/2/2022 16:10
3575,310523905,"Need Access,  I (de5835) have approved, but still in queue with jl6963, Jerry Lewis. Jerry does not see this to approve.. ",User,ACTION Integrated Look Up,6/2/2022 17:13,6/3/2022 18:06
3576,310524549,NONCIO SDWAN device -PTIACKLISPT01PCCE02 not showing COS partition traffic.URL: xxxxxxx/cgi-bin/vsloginpage.exe?,User,VitalNet Problems or Errors,6/2/2022 17:31,6/28/2022 9:14
3577,310525839,Milestones are not updating in Athena on order #1022344380 ,User,Integrated Experience Platform (IXP),6/2/2022 18:11,6/6/2022 21:40
3578,310525729,Altria is requesting Cisco ISE BYOD ChromeOS provisioning support  configuration ,User,Cisco ISE,6/2/2022 18:11,6/16/2022 23:47
3579,310526107,Per user they are often receiving duplicate tickets for the same alarms on same servers for the Home Depot customer. ,User,SMARTS/GFP_CPE,6/2/2022 18:20,6/9/2022 23:50
3580,310527349,Need to have a new worklist created for the GSAMs,User,Unified Desktop (UD),6/2/2022 19:02,6/2/2022 19:37
3582,310531522,Not able to reset PW or Unlock Account ,User,GTAC,6/2/2022 20:55,6/14/2022 16:41
3583,310531586,Need to get a GTAC user ID for a new Starter Sergio Casas,User,GTAC,6/2/2022 20:58,6/8/2022 5:07
3584,310531806,Need to find Tacacs details for 2 domains,User,GTAC - Other,6/2/2022 21:05,6/2/2022 21:13
3586,310542994,"Hi Team, Few days back my account was disable accidentally, now same account is reactivated. when i opened my GTAC profile all of my access are in terminated state. so I tried to create a new access request getting error your duplicating the request. My M",User,GTAC - Other,6/3/2022 7:02,6/10/2022 7:54
3588,310547040,No proactive ticket for MYARBDPGJID01PVCE01,User,SMARTS/GFP_CPE,6/3/2022 10:46,6/3/2022 11:08
3589,310549231,We would like to have  SES_2.0 for the MHO tickets in Handover Flag  drop downs. ,User,Unified Desktop (UD),6/3/2022 13:29,6/7/2022 9:49
3590,310549679,"Internal Server error , cannot change PW, Data for customers empty",User,VitalNet Problems or Errors,6/3/2022 14:05,6/3/2022 14:26
3591,310550215,Please add user kc662q as a Network Owner over Customer Name MSS and Domain Name MSS as well as to all ,User,GTAC - Other,6/3/2022 14:25,6/4/2022 2:33
3593,310550363,new TRUE rule request,User,TRUE (Ticket Rules Update Engine),6/3/2022 14:33,8/24/2022 10:06
3595,310550851,Requesting Alarm Suppression for State Farm Insurance starting at 7pm on Friday (6/03)and ending at 6am on Monday (6/06).,User,SMARTS/GFP_CPE,6/3/2022 14:56,6/6/2022 15:01
3596,310551534,Manual Remove from Power BI ,User,Global Delivery Data & Analytics,6/3/2022 15:17,6/8/2022 17:17
3597,310552093,"I was able to access Voyence application daily , but today unable to access the Voyence application . Getting error message as username/password invalid. Tried to restart the laptop, but still no go. Please advice. ",User,Application Response Slow or Application Unreachable,6/3/2022 15:39,6/9/2022 9:19
3600,310559257,Need to investigate as why there was no auto detect/proactive ticket generated for asset GP-CHARLESTON-VC01 when SFP2 ADI link was down on Jun 1st for NFI Industries Customer.,User,Unified Desktop (UD),6/3/2022 19:22,6/21/2022 20:29
3601,310560129,Need to create a domain for DXC,User,GTAC,6/3/2022 19:53,6/24/2022 19:58
3602,310560906,Removal of US Army Domain group for DDI,User,GTAC,6/3/2022 20:22,7/5/2022 16:18
3603,310562705,New Account,User,"GTAC - Account issues, password change",6/3/2022 21:31,8/15/2022 22:37
3604,310564760,I am unable to create tickets or do a search.  Please setup my access mirroring Jesse Cervantes - ATTUId:  JC1439 ,User,Unified Desktop (UD),6/3/2022 23:01,6/10/2022 18:46
3605,310574939,absurd utilization percentage in table,User,VitalNet Problems or Errors,6/4/2022 11:26,7/21/2022 16:46
3606,310580966,Users are not getting IP,User,CISCO ISE - Network Device Update/Add/Delete,6/4/2022 18:42,6/19/2022 0:10
3607,310582622,Action V3 slow response and  GPS ID not loading,User,ACTION Integrated Look Up,6/4/2022 21:00,6/4/2022 21:48
3608,310603257,Getting Invalid user when I click on a graph for any device,User,VitalNet Problems or Errors,6/6/2022 5:38,6/13/2022 9:56
3609,310604447,Adding Kyndryl WLCs to ISE servers for BCIT-J9D site as part Kyndryl separation eCEP-451913,User,CISCO ISE - Network Device Update/Add/Delete,6/6/2022 7:09,6/8/2022 5:02
3610,310606157,Please update customer CMA-CGM snmp configuration to v3 ,User,VitalNet Problems or Errors,6/6/2022 9:49,6/7/2022 9:50
3611,310606189,Please update customer CMA-CGM configuration to support snmpv3 ,User,INCM (Voyence),6/6/2022 9:54,6/24/2022 2:19
3612,310611139,Multiple false alarm for Client : CSL BEHRING L.L.C.,User,SMARTS/GFP_CPE,6/6/2022 15:08,7/20/2022 15:32
3614,310611650,TWD portal not send report requested ,User,INCM (Voyence) - Other,6/6/2022 15:27,6/7/2022 9:04
3615,310612423,"Receive ""fatal error"" trying to change pw via website",User,"GTAC - Account issues, password change",6/6/2022 15:48,6/12/2022 9:24
3616,310613026,Request to add a new device in ISE server ,User,CISCO ISE - Network Device Update/Add/Delete,6/6/2022 16:05,6/10/2022 9:06
3617,310613350,Attn: Mohan - Removing 310085600 from End Revenue field,User,Global Delivery Data & Analytics,6/6/2022 16:14,6/7/2022 15:37
3618,310614315,Tacacs issue for ADI orders (ATTU Stage 2 & 3 failing),User,"ServiceNow Day 2 Support - ATTU (Automated TTU, OneButton)",6/6/2022 16:39,6/6/2022 21:56
3619,310615688,Client READ Access Request,User,GTAC,6/6/2022 17:17,6/8/2022 22:49
3620,310616673,GTAC key for domain Unicredit DDI  ,User,GTAC,6/6/2022 17:42,6/7/2022 15:07
3622,310618153,Unable to to authenticate on ADI Tacacs Servers for all the users with MIS-PNT profile.  ,User,GTAC - Other,6/6/2022 18:28,6/7/2022 23:42
3623,310622634,ticket not loading from unified desktop ,User,Unified Desktop (UD),6/6/2022 20:48,6/6/2022 22:08
3624,310624074,AES Certificates: Please implement this change on 6/8 anytime between 8am  12pm EST. ,User,CISCO ISE - Network Device Update/Add/Delete,6/6/2022 21:39,6/20/2022 14:22
3627,310639268,Please provide 90 days GTAC logs to complete PAR activity for Altria Commercial account ,User,GTAC,6/7/2022 12:09,6/14/2022 13:25
3628,310639803,Kyndryl ISE Devices Add ,User,CISCO ISE - Network Device Update/Add/Delete,6/7/2022 12:55,6/17/2022 9:12
3629,310640384,Access issues to  the Windows Jump servers  xxxxxxx & xxxxxxx Domain CAD  ,User,IGEMS Servers - WINDOWS - Access issues,6/7/2022 13:32,7/4/2022 9:54
3630,310640446,I was a sub-contractor for AT&T 2 months ago. Got a contract with AT&T and was given same UID. Have been trying to request accesses for GTAC V8. Shows account terminated but i cant request new access at the same time ,User,"GTAC - Account issues, password change",6/7/2022 13:34,6/7/2022 14:56
3631,310643542,ISAE3402 FMS audit 2022 - GTAC audit reports and GTAC IP and port matching PrintScreen required ,User,GTAC - Audit or GTAC report data,6/7/2022 15:44,6/8/2022 17:53
3632,310643609,GTAC is not working with infinity Portal  ,User,GTAC | pending cust/T3 response,6/7/2022 15:46,6/10/2022 10:37
3633,310643776,TACACS connection failures to DUR server ,User,GTAC - Other,6/7/2022 15:50,6/21/2022 1:42
3635,310644871,Comerica Q2 MRS router password reset -GPS update (approximately 500 rtrs),User,SMARTS/GFP_CPE,6/7/2022 16:22,6/16/2022 18:51
3636,310644930, IGA ISE Device Add ,User,CISCO ISE - Network Device Update/Add/Delete,6/7/2022 16:24,6/7/2022 23:10
3637,310645817,Eli Lilly - VRT ticket movement (old tkt # 237878),User,TRUE (Ticket Rules Update Engine),6/7/2022 16:50,8/24/2022 10:08
3639,310649261,Unable to pull up any USO orders. ,User,Unified Desktop (UD),6/7/2022 18:09,6/7/2022 21:43
3640,310649768,Modify MSS_MTIPSLab_Cloud Domain VSAs,User,GTAC - Other,6/7/2022 18:25,10/25/2022 16:59
3641,310649862,GTAC: Domain Group Access Request,User,GTAC,6/7/2022 18:27,6/21/2022 18:40
3642,310650094,Manual Remove from Power BI ,User,Global Delivery Data & Analytics,6/7/2022 18:39,6/8/2022 17:16
3643,310650578,I have request ID 2507787 and my Manager has approved the request.  ,User,GTAC - Other,6/7/2022 18:50,6/7/2022 19:05
3645,310652322,GTAC Domain group access request ,User,"GTAC - Account issues, password change",6/7/2022 19:43,6/14/2022 23:34
3646,310652751,"I have worked for att previously with the same userID, ""bw320b"" my GTAC account for NY Life is terminated after my previous contract ended. Now, I am on new accounts ""HPE"" and ""DXC"" So when I try to request GTAC access for these accounts I receive an erro",User,"GTAC - Account issues, password change",6/7/2022 19:52,6/7/2022 20:53
3647,310655209,Eli Lilly - Zone 1 - ISE Upgrade,User,Cisco ISE - Other,6/7/2022 21:05,8/23/2022 21:42
3649,310668868,"Active Org, Managing Org of the router ""JP0213TYO0001R"" on Action have not been sync up with NC3.  ",User,ACTION Web,6/8/2022 7:31,6/29/2022 5:52
3650,310671057,"Unable to escalate BMP tickets getting Error Code 1027, the ticket number  and ticketing system do not match",User,Unified Desktop (UD),6/8/2022 9:20,6/8/2022 17:20
3651,310672612,Add new fields from MowOrdering db into MowOrdering model,User,Global Delivery Data & Analytics,6/8/2022 10:37,6/21/2022 12:36
3652,310676196,Attn: Mohan  RPA Check  No update for Flex MOVE missing and sporadic loads ,User,Global Delivery Data & Analytics,6/8/2022 14:00,6/9/2022 23:37
3653,310678776,"My att ID was used previously by me on a different project, different manager. I need to update with new information ",User,GTAC,6/8/2022 15:38,6/15/2022 22:48
3654,310679808,"EXTREME latency accessing customer Wolters Kluwer devices via pollers 	xxxxxxx/ rlpv13074.gcsc.att.com and xxxxxxx/ rlpv13083.gcsc.att.com ",User,SMARTS/GFP_CPE,6/8/2022 16:06,6/9/2022 16:50
3655,310680005,Add Network Owner to Vattenfall Domains ,User,GTAC,6/8/2022 16:11,6/9/2022 23:25
3656,310681058,User Request Needs Approval,User,iGEMS-NG (NextGEMS) - Other,6/8/2022 16:43,6/21/2022 20:00
3657,310681199,Access Request  ,User,iGEMS-NG (NextGEMS) - Other,6/8/2022 16:45,6/15/2022 22:49
3658,310684247,"Hi Team,I am not able to access below devices while I have GTAC and MECH ID access:Please check and fix the issue so that I can login to below devicesCompany	:		GEMS Organization:IBM Cooper Cameron	NS_CPCRAsset			IP ADDRESSCAM-RTP-F501.CAM.COM	1",User,GTAC - Other,6/8/2022 17:58,6/15/2022 21:47
3659,310684724,"dimetool - Thomson Reuters automation account shows owner pending approval, tl138k says he has no approvals in his queue ",User,"GTAC - Account issues, password change",6/8/2022 18:09,6/14/2022 16:45
3660,310687080,GTAC not working on DOW Chemical VoIP Account ,User,GTAC - Other,6/8/2022 19:09,6/8/2022 23:43
3661,310687629,No auto ticket for DHL devices,User,SMARTS/GFP_CPE,6/8/2022 19:25,6/30/2022 22:31
3662,310688928,GCSC tickets getting generated even after removing hosts and smarts entries for customer Ernst & Young.,User,SMARTS/GFP_CPE,6/8/2022 20:05,6/14/2022 16:46
3663,310690402,Account locked. Please reinstate ,User,GTAC,6/8/2022 20:48,6/8/2022 21:01
3664,310692656,CLM Operation Failure. Suspect due to ifconfig due to reboot. Similar to tkt  243507.,User,Ciena License Manager,6/8/2022 21:59,6/9/2022 0:06
3665,310693987,Please implement this change on 6/13 anytime between 8am - 12pm EST. ,User,CISCO ISE - Network Device Update/Add/Delete,6/8/2022 22:47,9/14/2022 19:51
3667,310695618,Please investigate as why there was no auto detect ticket cut for asset NFII-US-TX-0008-VC01 for NFI Industries Customer when the edge was reported down in VCO21 on May 18th. ,User,SMARTS/GFP_CPE,6/8/2022 23:28,6/17/2022 22:58
3669,310707351,"Auto Detect alert tickets not getting generated for the Oracle SBC, someone from Gess team need to join our testingrlpv13557 : nlist C3T-VOxxxxxxx C3T-VO-SBC01-A # TAIPEI, Taiwanxxxxxxx C3T-VO-SBC01-B # TAIPEI, Taiwan",User,SMARTS/GFP_CPE,6/9/2022 10:12,7/12/2022 9:41
3670,310708044,"Please, remove users from Vattenfall domains ",User,GTAC,6/9/2022 10:54,6/9/2022 16:19
3671,310709784,Please add the WLC on Kyndryl Corporate & Guest ISE device  ,User,Cisco ISE,6/9/2022 12:40,6/17/2022 10:03
3672,310711307,Updating the Hostname of the Wireless Controller,User,Cisco ISE - Other,6/9/2022 14:16,6/21/2022 6:57
3674,310713639,Request customer accounts to be added to existing domain,User,GTAC,6/9/2022 15:49,7/14/2022 16:45
3675,310713759,tkt cut on sev 4 instead of sev 2,User,SMARTS/GFP_CPE,6/9/2022 15:55,6/27/2022 14:55
3676,310716968,"It appears chractrh08b.gcsc.att.com is having trouble connecting to aotswl.it.att.com and it is impacting a few applications (Action, autoqm, etc..) ",User,ACTION Suite,6/9/2022 18:10,6/9/2022 18:55
3677,310719795,The ETS team (supporting State Farm) is getting many DUPLICATE tickets (pingResponse and VCOLink tickets).,User,SMARTS/GFP_CPE,6/9/2022 19:23,6/14/2022 16:48
3679,310720303,"Hi , I am part of IN-GCSC-SDXN group in Unified desktop.We support customers like Bacardi, omnicom, advanced auto parts.We are receiving duplicates like while vendor and customer is ebonding ticket with AT&T",User,Unified Desktop (UD),6/9/2022 19:39,6/14/2022 23:31
3680,310723204,"Please remove Richard Bohne and Stevon Robinson's from ""MSS_REHO"" domain. ",User,GTAC - Other,6/9/2022 21:17,6/9/2022 21:56
3681,310723524,Manual Remove from Power BI ,User,Global Delivery Data & Analytics,6/9/2022 21:30,6/13/2022 20:00
3682,310726812,GTAC Access Request ,User,GTAC,6/9/2022 23:49,6/17/2022 23:55
3683,310731067,guest wireless account not working ,User,Cisco ISE - Other,6/10/2022 4:23,8/11/2022 9:09
3684,310731237,ITL and UTM function are not working. Get an error message...ERROR: Unable to lock you on any tickets retrieved from ITL. Please try again in a few moments.,User,Unified Desktop (UD),6/10/2022 4:39,6/10/2022 8:19
3685,310731367,"SES Agent in Chandigarh and CBJ  is not able to pull ticket from worklist using ""UTM:get next work item""",User,Unified Desktop (UD),6/10/2022 4:52,6/10/2022 8:23
3687,310737596,List of users including customer accounts,User,GTAC,6/10/2022 11:38,6/10/2022 12:02
3688,310738344,Requesting Alarm Suppression for State Farm Insurancestarting at 7pm on Friday (6/10) and ending at 6am on Monday (6/13).,User,SMARTS/GFP_CPE,6/10/2022 12:43,6/13/2022 17:04
3689,310738808,Unable to access Manage CIs feature in UD,User,Unified Desktop (UD),6/10/2022 13:11,6/22/2022 9:16
3690,310740127,DXC Campbells - Doubled utilization values sent from Vitalnet to ATTLAS,User,VitalNet Problems or Errors,6/10/2022 14:13,8/23/2022 9:09
3691,310742626,Manual Remove from Power BI ,User,Global Delivery Data & Analytics,6/10/2022 15:52,6/13/2022 19:52
3692,310744014,Monitoring / to check for the service periodically (once an hour/day) and create a new ticket if there isnt an active one already,User,SMARTS/GFP_CPE,6/10/2022 16:42,7/1/2022 22:12
3693,310744559,My GTAC account was terminated ,User,"GTAC - Account issues, password change",6/10/2022 17:02,6/14/2022 20:11
3696,310756381,I cannot log in to xxxxxxx/users/sign_in  ,User,"GTAC - Account issues, password change",6/10/2022 22:17,6/16/2022 17:26
3697,310759251,Update Switch Names in ISE,User,CISCO ISE - Network Device Update/Add/Delete,6/11/2022 0:20,6/15/2022 9:38
3698,310768458,Not able to login to routers ,User,GTAC - Other,6/11/2022 11:35,6/21/2022 13:57
3699,310770987,Unable to pull up AOTS tickets or view worklists in UD ,User,Unified Desktop (UD),6/11/2022 14:50,6/11/2022 15:35
3700,310774186,100+ tickets are getting flooding for both SDWAN and LAN tickets for US and EMEA region,User,Unified Desktop (UD),6/11/2022 17:43,7/26/2022 15:19
3701,310785147,False trap - USCKU1EXT-DS01 trunk cable PORT-USCKU1EXT-DS01/436229632 [Ethernet1/44]<->PORT-USCKU1EXT-DS04/436229632 [Ethernet1/44] [USCKU1EXT-DS03 Eth1/44] is down at 2022-06-12 05:48:03,User,SMARTS/GFP_CPE,6/12/2022 9:50,6/21/2022 13:49
3702,310791415,HDC and HDD referrals no flowing from WFA to FORCE in APNSDNH (Northern California). ,User,Unified Desktop (UD),6/12/2022 19:44,6/20/2022 16:39
3703,310793433,not able to save ticket logs,User,Unified Desktop (UD),6/12/2022 23:20,6/12/2022 23:54
3704,310798718,Unable to login to Kyndryl Infoblox system using GTAC after the approval ,User,"GTAC - Account issues, password change",6/13/2022 7:28,6/20/2022 12:56
3705,310800920,Evonik: routers INEVIABHA0001R and INEVIABHA0002R missing on poller ,User,iGEMS CoE,6/13/2022 9:56,6/13/2022 10:17
